OID_,POINTID,GRID_CODE
1765,1765,40
1766,1766,40
1767,1767,40
1768,1768,40
1769,1769,40
1770,1770,40
1860,1860,40
1861,1861,40
1862,1862,40
1863,1863,40
1864,1864,40
1865,1865,40
1866,1866,40
1867,1867,40
1868,1868,40
1960,1960,40
1961,1961,40
1962,1962,40
1963,1963,40
1964,1964,40
1965,1965,40
1966,1966,40
1967,1967,40
2073,2073,40
2074,2074,40
2075,2075,40
2076,2076,40
2077,2077,40
2078,2078,40
2079,2079,40
2198,2198,40
2199,2199,40
2200,2200,40
2201,2201,40
2202,2202,40
2203,2203,40
2319,2319,40
2320,2320,40
2321,2321,40
2322,2322,40
2441,2441,40
2442,2442,40
2443,2443,40
2444,2444,40
2563,2563,40
2564,2564,40
2565,2565,40
2566,2566,40
2567,2567,40
2686,2686,40
2687,2687,40
2688,2688,40
2813,2813,40
2814,2814,40
2946,2946,40
2948,2948,40
3081,3081,40
3082,3082,40
3215,3215,40
4411,4411,40
6555,6555,40
6718,6718,40
4996,4996,40
4577,4577,40
4671,4671,40
2240,2240,40
2360,2360,40
2824,2824,40
2826,2826,40
2015,2015,40
6557,6557,40
3383,3383,40
4884,4884,39
2611,2611,39
4753,4753,39
1720,1720,39
4524,4524,39
4656,4656,39
4788,4788,39
5173,5173,39
5299,5299,39
6475,6475,39
2346,2346,39
4480,4480,39
5166,5166,39
5292,5292,39
5538,5538,39
5657,5657,39
4427,4427,39
4802,4802,39
2124,2124,39
2980,2980,39
3527,3527,39
1629,1629,39
1373,1373,39
1148,1148,39
6385,6385,39
4621,4621,39
4491,4491,39
4934,4934,39
1759,1759,39
1859,1859,39
2312,2312,39
1149,1149,39
4836,4836,39
1136,1136,39
1208,1208,39
1283,1283,39
2732,2732,39
6470,6470,39
4576,4576,39
4704,4704,39
4207,4207,39
2731,2731,39
5501,5501,39
6636,6636,39
4732,4732,39
4754,4754,39
6306,6306,39
3392,3392,39
4623,4623,39
7041,7041,39
7137,7137,39
7314,7314,39
7391,7391,39
7550,7550,39
6469,6469,39
6297,6297,39
6384,6384,38
2721,2721,38
6794,6794,38
1079,1079,38
6270,6270,38
4492,4492,38
5245,5245,38
4209,4209,38
5242,5242,38
6472,6472,38
2608,2608,38
2856,2856,38
4359,4359,38
5183,5183,38
3197,3197,38
5550,5550,38
6559,6559,38
5124,5124,38
4540,4540,38
1135,1135,38
1282,1282,38
2699,2699,38
1364,1364,38
1445,1445,38
5826,5826,38
6086,6086,38
2715,2715,38
1444,1444,38
6554,6554,38
1140,1140,38
1287,1287,38
6471,6471,38
4277,4277,38
4272,4272,38
4392,4392,38
4406,4406,38
5056,5056,38
5423,5423,38
5502,5502,38
1443,1443,38
2246,2246,38
4920,4920,38
5059,5059,38
6383,6383,37
1361,1361,37
6178,6178,37
4471,4471,37
817,817,37
818,818,37
885,885,37
947,947,37
6060,6060,37
6202,6202,37
2991,2991,37
5001,5001,37
6476,6476,37
6176,6176,37
4180,4180,37
2873,2873,37
4278,4278,37
4782,4782,37
4913,4913,37
5039,5039,37
5414,5414,37
5416,5416,37
5534,5534,37
5536,5536,37
5653,5653,37
5776,5776,37
6553,6553,37
3006,3006,37
1363,1363,37
5058,5058,37
1080,1080,37
5367,5367,37
165,165,37
198,198,37
231,231,37
232,232,37
267,267,37
268,268,37
6468,6468,37
6552,6552,37
2698,2698,37
2700,2700,37
1296,1296,37
2195,2195,37
